Nombre,Partido,Estado,Cabecera Municipal
González Alonso Carmen Rocío,PAN,Chihuahua,Chihuahua
González Azcárraga Rosa Maria,PAN,Tamaulipas,Tampico
Gonzalez Cruz Karla Veronica,PAN,Veracruz, 
González Márquez Karen Michel,PAN,Guanajuato,San Francisco del Rincón
González Urrutia Wendy,PAN,Ciudad de México,Azcapotzalco
González Zepeda Javier,PAN,Estado de México,San Miguel Zinacantepec
Gudiño Magaña Omar Francisco,PAN,Michoacán,Morelia
Gutiérrez Valdez María de los Angeles,PAN,Chihuahua,Hidalgo del Parral
Gutiérrez Valtierra Diana Estefanía,PAN,Guanajuato, 
Huerta Ling Guillermo Octavio,PAN,Ciudad de México, 
Huerta Villegas Genoveva,PAN,Puebla, 
Inzunza Armas Jorge Ernesto,PAN,Estado de México, 
Jiménez Angulo Julia Licet,PAN,Colima, 
Juárez Navarrete Berenice,PAN,Michoacán,Ciudad Hidalgo
Lara Carreón Diana María Teresa,PAN,Ciudad de México,La Magdalena Contreras
Lixa Abimerhi José Elías,PAN,Yucatán, 
López Sosa Mariela,PAN,Tamaulipas, 
Loyola Vera Ignacio,PAN,Querétaro,Santiago de Querétaro
Luna Ayala Noemí Berenice,PAN,Zacatecas, 
Macías Olvera Felipe Fernando,PAN,Querétaro,Santiago de Querétaro
Macías Zambrano Gustavo,PAN,Jalisco,Tequila
Madrazo Limón Carlos,PAN,Estado de México,Ciudad Adolfo López Mateos
Mancillas Cabrera Mariana,PAN,Nuevo León, 
Mandujano Tinajero Esther,PAN,Guanajuato,Acámbaro
Martínez López Paulo Gonzalo,PAN,Aguascalientes,Aguascalientes
Mata Atilano Noel,PAN,Aguascalientes,Jesús María
Mata Lozano Lizbeth,PAN,Baja California, 
Maturino Manzanera Juan Carlos,PAN,Durango, 
Mendoza Acevedo Luis Alberto,PAN,Ciudad de México,Benito Juárez
Monraz Ibarra Miguel Angel,PAN,Jalisco, 
Montes Estrada Berenice,PAN,Guanajuato,San Luis de La Paz
Morales Flores Jesus Fernando,PAN,Sonora, 
Murillo Manríquez Sonia,PAN,Baja California Sur, 
Núñez Cerón Sarai,PAN,Guanajuato,Celaya
Núñez Meneses Ali Sayuri,PAN,Estado de México,Coacalco de Berriozábal
Olvera Coronel Lilia Caritina,PAN,Tlaxcala, 
Olvera Higuera Claudia Gabriela,PAN,Estado de México,Naucalpan de Juárez
Oranday Aguirre Nora Elva,PAN,Coahuila, 
Pacheco Marrufo Rommel Aghmed,PAN,Yucatán,Mérida
Patrón Laviada Cecilia Anunciación,PAN,Yucatán,Mérida
Peña Flores Gerardo,PAN,Tamaulipas, 
Pérez Díaz Victor Manuel,PAN,Nuevo León, 
Pérez-Jaén Zermeño María Elena,PAN,Aguascalientes, 
Quadri de la Torre Gabriel Ricardo,PAN,Ciudad de México,Coyoacán
Ramírez Barba Éctor Jaime,PAN,Guanajuato,León
Reza Gallegos Rocío Esmeralda,PAN,Chihuahua, 
Riestra Piña Mario Gerardo,PAN,Puebla,Heroica Puebla de Zaragoza
Rivera Gutiérrez Riult,PAN,Colima,Colima
Rocha Acosta Sonia,PAN,Querétaro,Cadereyta de Montes
Rodríguez Rivera Iván Arturo,PAN,Estado de México,Naucalpan de Juárez
Romero Herrera Jorge,PAN,Ciudad de México, 
Romero Hicks Juan Carlos,PAN,Guanajuato,Guanajuato
Romero Velázquez Krishna Karina,PAN,Estado de México,Tlalnepantla de Baz
Romo Cuéllar Martha Estela,PAN,Jalisco,Lagos de Moreno
Rubio Fernández Paulina,PAN,Jalisco, 
Salgado Almaguer Pedro,PAN,Nuevo León,San Nicolás de los Garza
Sánchez Velázquez Ana Laura,PAN,Jalisco,La Barca
Sánchez Zepeda Rodrigo,PAN,Michoacán,Jiquilpan de Juárez
Solórzano Gallego Marcia,PAN,Querétaro,San Juan del Río
Tejeda Cid Armando,PAN,Michoacán, 
Téllez Hernández Héctor Saúl,PAN,Ciudad de México,Coyoacán
Terrazas Baca Patricia,PAN,Chihuahua,Cuauhtémoc
Tinajero Robles Desiderio,PAN,Jalisco,Tepatitlán de Morelos
Torreblanca Engell Santiago,PAN,Ciudad de México, 
Torres Graciano Fernando,PAN,Guanajuato,León
Tovar Vargas José Salvador,PAN,Guanajuato,Irapuato
Triana Tena Jorge,PAN,Ciudad de México,Cuajimalpa de Morelos
Valenzuela Corral Roberto,PAN,Aguascalientes, 
Valenzuela González Carlos Alberto,PAN,Veracruz, 
Valenzuela Sánchez Ana Laura,PAN,Ciudad de México, 
Varela Pinedo Miguel Ángel,PAN,Zacatecas,Jeréz de García Salinas
Verástegui Ostos Vicente Javier,PAN,Tamaulipas,Ciudad Mante
Villarreal García Ricardo,PAN,Guanajuato,San Miguel de Allende
Zapata Meraz José Antonio,PAN,San Luis Potosí,San Luis Potosí
