,Distrito,Cabecera Municipal,Diputado,Partido,Estado
277,7,Villa de Álvarez,José de Jesús Dueñas García,Partido Revolucionario Institucional,Colima
278,8,Villa de Álvarez,Héctor Magaña Lara,Partido Revolucionario Institucional,Colima
279,9,Armería,Sonia Hernández Cayetano,Movimiento Regeneración Nacional,Colima
280,10,Ixtlahuacán,Armando Reyna Magaña,Movimiento Regeneración Nacional,Colima
281,11,Manzanillo,Francisco Rubén Romo Ochoa,Movimiento Regeneración Nacional,Colima
282,12,Manzanillo,Ana Karen Hernández Aceves,Movimiento Regeneración Nacional,Colima
283,13,Manzanillo,Isamar Ramírez Rodríguez,Movimiento Regeneración Nacional,Colima
284,14,Minatitlán,Andrea Naranjo Alcaraz,Movimiento Regeneración Nacional,Colima
285,15,Tecomán,Viridiana Valencia Vargas,Movimiento Regeneración Nacional,Colima
286,16,Tecomán,Julio César Cano Farías,Movimiento Regeneración Nacional,Colima
294,I Distrito,Mérida,Jesús Efrén Pérez Ballote,Partido Acción Nacional,Yucatán
295,II Distrito,Mérida,Abril Ferreyro Rosado,Partido Acción Nacional,Yucatán
296,III Distrito,Mérida,Karem Faride Achach Ramírez,Partido Acción Nacional,Yucatán
297,IV Distrito,Mérida,Victor Hugo Lozano Poveda,Partido Acción Nacional,Yucatán
298,V Distrito,Mérida,Karla Vanessa Salazar González,Partido Acción Nacional,Yucatán
299,VI Distrito,Kanasín,Manuela de Jesús Cocom Bolio,Partido Acción Nacional,Yucatán
300,VII Distrito,Mérida,Dafne Celina López Osorio,Partido Acción Nacional,Yucatán
301,VIII Distrito,Umán,Jazmín Yaneli Villanueva Moo,Movimiento Regeneración Nacional,Yucatán
302,IX Distrito,Progreso,Erik José Rihani González,Partido Acción Nacional,Yucatán
303,X Distrito,Tizimín,Esteban Abraham Macari,Partido Acción Nacional,Yucatán
304,XI Distrito,Valladolid,Luis René Fernández Vidal,Partido Acción Nacional,Yucatán
305,XII Distrito,Tekax,Raúl Antonio Romero Chel,Partido Acción Nacional,Yucatán
