,Municipio,Municipal,Estado,Gobernador,Partido
1413,Teapa,Alma Rosa Espadas Hernandez,Tabasco,Carlos Manuel Merino Campos,Movimiento Regeneración Nacional
1414,Tenosique,Jorge Suarez Moreno,Tabasco,Carlos Manuel Merino Campos,Movimiento Regeneración Nacional
1415,Abasolo,Ruben Curiel Curiel,Tamaulipas,Americo Villarreal Anaya,Partido Revolucionario Institucional
1416,Aldama,Alejandro Garcia Barrientos,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1417,Altamira,Armando Martinez Martinez,Tamaulipas,Americo Villarreal Anaya,Movimiento Regeneración Nacional
1418,Antiguo Morelos,Carmelo Tinajero Castro,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1419,Burgos,Jorge Eleazar Galvan Garcia,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1420,Bustamante,Brisa Verber Rodriguez,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1421,Camargo,Maria Del Carmen Rocha Hernandez,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1422,Casas,Maria Olga Hernandez Avalos,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1423,Ciudad Madero,Adrian Oseguera Kernion,Tamaulipas,Americo Villarreal Anaya,Movimiento Regeneración Nacional
1424,Cruillas,Maria Angelina Guerrero Galvan,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1425,Gomez Farias,Frank Yussef de Leon Avila,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1426,Gonzalez,Ada Gabriela Verlage Friedman,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1427,Güemez,Jose Lorenzo Morales Amaro,Tamaulipas,Americo Villarreal Anaya,Partido Revolucionario Institucional
1428,Guerrero,Iracema Albeza Peña Ramirez,Tamaulipas,Americo Villarreal Anaya,Partido Revolucionario Institucional
1429,Gustavo Diaz Ordaz,Nataly Garcia Diaz,Tamaulipas,Americo Villarreal Anaya,Partido del Trabajo
1430,Hidalgo,Juan Jose Contreras Castillo,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1431,Jaumave,Jose Luis Gallardo Flores,Tamaulipas,Americo Villarreal Anaya,Independiente
1432,Jimenez,Luis Enrique Salazar Sanchez,Tamaulipas,Americo Villarreal Anaya,Partido Revolucionario Institucional
1433,Llera,Moises Antonio Borjon Olvera,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1434,Mainero,Margarita Carranza Mendez,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1435,El Mante,Edgar Noe Ramos Ferretiz,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1436,Matamoros,Mario Alberto Lopez Hernandez,Tamaulipas,Americo Villarreal Anaya,Movimiento Regeneración Nacional
1437,Mendez,Maria Cristina Barrera Barrera,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1438,Mier,Jose Patroclo Treviño Ramos,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1439,Miguel Aleman,Ramiro Cortez Barrera,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1440,Miquihuana,Gladis Magalis Vargas Rangel,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1441,Nuevo Laredo,Carmen Lilia Canturosas Villareal,Tamaulipas,Americo Villarreal Anaya,Movimiento Regeneración Nacional
1442,Nuevo Morelos,Yaneth Cristal Najera Cedillo,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1443,Ocampo,Melchor Budarth Baez,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1444,Padilla,Jose Manuel Silvestre Ruiz,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1445,Palmillas,Maria de las Nieves Ramirez Compean,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1446,Reynosa,Carlos Victor Peña Ortiz,Tamaulipas,Americo Villarreal Anaya,Movimiento Regeneración Nacional
1447,Rio Bravo,Hector Joel Villegas Gonzalez,Tamaulipas,Americo Villarreal Anaya,Movimiento Regeneración Nacional
1448,San Carlos,Teresa Lopez Heredia,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1449,San Fernando,Maybella Lizeth Ramirez Saldivar,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1450,San Nicolas,Diana Leticia Castellanos del Castillo,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1451,Soto la Marina,Luis Antonio Medina Jasso,Tamaulipas,Americo Villarreal Anaya,Partido del Trabajo
1452,Tampico,Jesus Antonio Nader Nasrallah,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1453,Tula,Antonio Leija Villarreal,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1454,Valle Hermoso,Alberto Enrique Alanis Villarreal,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1455,Victoria,Eduardo Abraham Gattas Baez,Tamaulipas,Americo Villarreal Anaya,Movimiento Regeneración Nacional
1456,Villagran,Diana Martinez Andrade,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1457,Xicotencatl,Ofelia Noemy Gonzalez Marquez,Tamaulipas,Americo Villarreal Anaya,Partido Acción Nacional
1458,Amaxac de Guerrero,Nancy Cortes Vazquez,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1459,Apetatitlan de Antonio Carvajal,Angelo Gutierrez Hernandez,Tlaxcala,Lorena Cuellar Cisneros,Partido Acción Nacional
1460,Atlangatepec,Alfredo Ponce Hernandez,Tlaxcala,Lorena Cuellar Cisneros,Partido Revolucionario Institucional
1461,Altzayanca,Gustavo Parada Matamoros,Tlaxcala,Lorena Cuellar Cisneros,Partido Revolucionario Institucional
1462,Apizaco,Pablo Badillo Sanchez,Tlaxcala,Lorena Cuellar Cisneros,Partido Acción Nacional
1463,Calpulalpan,Edgar Peña Najera,Tlaxcala,Lorena Cuellar Cisneros,Partido Alianza Ciudadana
1464,El Carmen Tequexquitla,Maria Araceli Martinez Cortes,Tlaxcala,Lorena Cuellar Cisneros,Partido Alianza Ciudadana
1465,Cuapiaxtla,Antonio Romero Rodriguez,Tlaxcala,Lorena Cuellar Cisneros,Partido Revolucionario Institucional
1466,Cuaxomulco,Miguel Angel Neria Carreño,Tlaxcala,Lorena Cuellar Cisneros,Partido Acción Nacional
1467,Chiautempan,Gustavo Jimenez Romero,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1468,Muñoz de Domingo Arenas,Hector Prisco Fernandez,Tlaxcala,Lorena Cuellar Cisneros,Partido Encuentro Social de Tlaxcala
1469,Españita,Jose Luis Gonzalez Guarneros,Tlaxcala,Lorena Cuellar Cisneros,Partido Revolucionario Institucional
1470,Huamantla,Juan Salvador Santos Cedillo,Tlaxcala,Lorena Cuellar Cisneros,Partido Verde Ecologista de México
1471,Hueyotlipan,Luis Angel Roldan Carrillo,Tlaxcala,Lorena Cuellar Cisneros,Redes Sociales Progresistas
1472,Ixtacuixtla de Mariano Matamoros,Jesus Rolando Perez Saavedra,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1473,Ixtenco,Renato Sanchez Rojas,Tlaxcala,Lorena Cuellar Cisneros,Partido Socialista
1474,Mazatecochco,Leandra Xicohtencatl Muñoz,Tlaxcala,Lorena Cuellar Cisneros,Partido Revolucionario Institucional
1475,Contla de Juan Cuamatzi,Eddy Roldan Xolocotz,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1476,Tepetitla de Lardizabal,Alan Alvarado Islas,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1477,Sanctorum de Lazaro Cardenas,Verenice Garcia Zaldivar,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1478,Nanacamilpa de Mariano Arista,Oswaldo Manuel Romano Valdes,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1479,Acuamanala de Miguel Hidalgo,Fernando Luna Martinez,Tlaxcala,Lorena Cuellar Cisneros,Redes Sociales Progresistas
1480,Nativitas,Carlos Garcia Sampedro,Tlaxcala,Lorena Cuellar Cisneros,Partido del Trabajo
1481,Panotla,Felicitas Vazquez Islas,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1482,San Pablo del Monte,Raul Tomas Juarez Contreras,Tlaxcala,Lorena Cuellar Cisneros,Nueva Alianza Tlaxcala
1483,Santa Cruz Tlaxcala,David Martinez del Razo,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1484,Tenancingo,Micaela Guzman Guzman,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1485,Teolocholco,Rodrigo Cuahutle Salazar,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1486,Tepeyanco,Gaudencio Morales Morales,Tlaxcala,Lorena Cuellar Cisneros,Partido del Trabajo
1487,Terrenate,Edgardo Isaac Olivares Cruz,Tlaxcala,Lorena Cuellar Cisneros,Partido Socialista
1488,Tetla de la Solidaridad,Andres Ramirez Galicia,Tlaxcala,Lorena Cuellar Cisneros,Partido Socialista
1489,Tetlatlahuca,Juan Pablo Angulo Hernandez,Tlaxcala,Lorena Cuellar Cisneros,Partido Alianza Ciudadana
1490,Tlaxcala,Jorge Alfredo Corich Fragoso,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1491,Tlaxco,Armando Flores Lopez,Tlaxcala,Lorena Cuellar Cisneros,Partido de la Revolución Democrática
1492,Tocatlan,Quirino Torres Hernandez,Tlaxcala,Lorena Cuellar Cisneros,Partido Revolucionario Institucional
1493,Totolac,Ravelo Zempoalteca Enriquez,Tlaxcala,Lorena Cuellar Cisneros,Partido Revolucionario Institucional
1494,Zitlaltepec de Trinidad Sanchez Santos,Juan Carlos Rodriguez Contreras,Tlaxcala,Lorena Cuellar Cisneros,Partido Revolucionario Institucional
1495,Tzompantepec,Manuel Ramos Montiel,Tlaxcala,Lorena Cuellar Cisneros,Partido Revolucionario Institucional
1496,Xalostoc,Jose Rafael Coca Vazquez,Tlaxcala,Lorena Cuellar Cisneros,Partido del Trabajo
1497,Xaltocan,Jose Luis Hernandez Vazquez,Tlaxcala,Lorena Cuellar Cisneros,Redes Sociales Progresistas
1498,Papalotla de Xicohtencatl,Juan Octavio Rojas Cruz,Tlaxcala,Lorena Cuellar Cisneros,Partido del Trabajo
1499,Xicohtzinco,Luis Angel Barroso Ramirez,Tlaxcala,Lorena Cuellar Cisneros,Partido de la Revolución Democrática
1500,Yauhquemehcan,Maria Anita Chamorro Badillo,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1501,Zacatelco,Hildeberto Perez Alvarez,Tlaxcala,Lorena Cuellar Cisneros,Nueva Alianza Tlaxcala
1502,Benito Juarez,Laura Yamili Flores Lozano,Tlaxcala,Lorena Cuellar Cisneros,Partido de la Revolución Democrática
1503,Emiliano Zapata,Edgar Macias Moreno,Tlaxcala,Lorena Cuellar Cisneros,Partido Revolucionario Institucional
1504,Lazaro Cardenas,Agripino Rivera Martinez,Tlaxcala,Lorena Cuellar Cisneros,Partido Encuentro Solidario
1505,La Magdalena Tlaltelulco,Marco Antonio Pluma Melendez,Tlaxcala,Lorena Cuellar Cisneros,Partido Verde Ecologista de México
1506,San Damian Texoloc,Arturo Covarrubias Cervantes,Tlaxcala,Lorena Cuellar Cisneros,Partido del Trabajo
1507,San Francisco Tetlanohcan,Francisco Rodriguez Mendieta,Tlaxcala,Lorena Cuellar Cisneros,Nueva Alianza Tlaxcala
1508,San Jeronimo Zacualpan,Isidro Nohpal Garcia ,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Ciudadano
1509,San Jose Teacalco,Hilario Padilla Longino,Tlaxcala,Lorena Cuellar Cisneros,Independiente
1510,San Juan Huactzinco,Josue Guzman Zamora,Tlaxcala,Lorena Cuellar Cisneros,Redes Sociales Progresistas
1511,San Lorenzo Axocomanitla,Oracio Tuxpan Sanchez,Tlaxcala,Lorena Cuellar Cisneros,Partido de la Revolución Democrática
1512,San Lucas Tecopilco,Abiran Misael Baez Perez,Tlaxcala,Lorena Cuellar Cisneros,Partido Encuentro Social de Tlaxcala
1513,Santa Ana Nopalucan,Pedro Perez Vasquez,Tlaxcala,Lorena Cuellar Cisneros,Partido del Trabajo
1514,Santa Apolonia Teacalco,Oscar Portillo Ramirez,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Regeneración Nacional
1515,Santa Catarina Ayometla,Maribel Meza Guzman,Tlaxcala,Lorena Cuellar Cisneros,Movimiento Ciudadano
1516,Santa Cruz Quilehtla,Leonardo Flores Grande,Tlaxcala,Lorena Cuellar Cisneros,Partido del Trabajo
1517,Santa Isabel Xiloxoxtla,Francisco Zacapa Rugerio,Tlaxcala,Lorena Cuellar Cisneros,Partido del Trabajo
1518,Acajete,Salvador Hernandez Hernandez,Veracruz,Cuitlahuac Garcia Jimenez,Redes Sociales Progresistas
1519,Acatlan,Aquilino Rodriguez Sanchez,Veracruz,Cuitlahuac Garcia Jimenez,Partido del Trabajo
1520,Acayucan,Rosalba Rodriguez Rodriguez,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1521,Actopan,Maria Esther Lopez Callejas,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1522,Acula,Rocio Cruz Dominguez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1523,Coetzala,Luis Alfredo Cruz Lopez,Veracruz,Cuitlahuac Garcia Jimenez,Redes Sociales Progresistas
1524,Camaron de Tejeda,Uriel Gonzalez Alarcon Parissi,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1525,Alpatlahuac,Leonel Sanchez Reyes,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1526,Alto Lucero de Gutierrez Barrios,Luis Vicente Aguilar Castillo,Veracruz,Cuitlahuac Garcia Jimenez,Partido del Trabajo
1527,Altotonga,Juan Ignacio Vladimir Morales Guevara,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1528,Alvarado,Lizzette Alvarez Vera,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1529,Amatitlan,Esmeralda Clara Rodriguez,Veracruz,Cuitlahuac Garcia Jimenez,Partido del Trabajo
1530,Naranjos Amatlan,Jose Luis Banda Cruz,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1531,Amatlan de los Reyes,Luis Arturo Figueroa Vargas,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1532,Angel R. Cabada,Julio Cesar Garcia Machucho,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1533,La Antigua,Adolfo Bernardo Carrion Carrillo,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Ciudadano
1534,Apazapan,Gustavo Flores Colorado,Veracruz,Cuitlahuac Garcia Jimenez,Podemos
1535,Aquila,Inocencio Ramirez Limon,Veracruz,Cuitlahuac Garcia Jimenez,Redes Sociales Progresistas
1536,Astacinga,Crescencia Tzompaxtle Itehua,Veracruz,Cuitlahuac Garcia Jimenez,Partido del Trabajo
1537,Atlahuilco,Jaime Rosales Vasquez,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1538,Atzacan,Israel Raymundo Solano Jimenez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Ciudadano
1539,Atzalan,Carlos Garcia Dominguez,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1540,Tlaltetela,Victor Manuel Rosales Rosales,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1541,Ayahualulco,Jose Arturo Morales Rosas,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1542,Banderilla,David Sangabriel Bonilla,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1543,Benito Juarez,Samuel Arreola Arguelles,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1544,Boca del Rio,Juan Manuel De Unanue Abascal,Veracruz,Cuitlahuac Garcia Jimenez,Partido Acción Nacional
1545,Calcahualco,Guadalupe Carrillo Vazquez,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1546,Camerino Z. Mendoza,Hector Rodriguez Cortes,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1547,Carrillo Puerto,Jose Gustavo Jacome Calderon,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1548,Catemaco,Juan Jose Rosario Morales,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1549,Cazones de Herrera,Remigio Tovar Tovar ,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Ciudadano
1550,Cerro Azul,Francisco Javier Medina Del Angel,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1551,Coahuitlan,Roberto Francisco Garcia,Veracruz,Cuitlahuac Garcia Jimenez,Partido Acción Nacional
1552,Coatepec,Raymundo Andrade Rivera,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1553,Coatzacoalcos,Amado Jesus Cruz Malpica,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1554,Coatzintla,Cesar Ulises Garcia Vazquez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1555,Coetzala,Alejandro Garcia Hernandez,Veracruz,Cuitlahuac Garcia Jimenez,Partido del Trabajo
1556,Colipa,Gabriela Alejandra Ortega Molina,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1557,Comapa,Leon Canton Leon,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1558,Cordoba,Juan Martinez Flores,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1559,Cosamaloapan de Carpio,Gustavo Senties Hernandez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1560,Cosautlan de Carvajal,Jose Antonio Valdivia Huerta,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Ciudadano
1561,Coscomatepec,Jose Luis Alonso Juarez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Ciudadano
1562,Cosoleacaque,Ponciano Vazquez Parissi,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1563,Cotaxtla,Jose Saturnino Beltran Vasquez,Veracruz,Cuitlahuac Garcia Jimenez,Partido Acción Nacional
1564,Coxquihui,Juan Pablo Gomez Mendoza,Veracruz,Cuitlahuac Garcia Jimenez,Partido Acción Nacional
1565,Coyutla,Jose Benito Picazo Perez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Ciudadano
1566,Cuichapa,Juan Manuel Torres Camacho,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1567,Cuitlahuac,Martin Rico Martinez,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1568,Chacaltianguis,Bertha Isabel Muñoz Torres,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1569,Chalma,Jorge Flores Lara,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1570,Chiconamel,Alejandro Sanchez Franco,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1571,Chiconquiaco,Luis Silvestre Morales Viveros,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1572,Chicontepec,Armando Fernandez De la Cruz,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1573,Chinameca,Ramiro Aleman Valencia,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1574,Chinampa de Gorostiza,Gabriel Morelos Francisco,Veracruz,Cuitlahuac Garcia Jimenez,Partido Acción Nacional
1575,Las Choapas,Miguel Angel Tronco Gomez,Veracruz,Cuitlahuac Garcia Jimenez,Partido del Trabajo
1576,Chocaman,Ernesto Ruiz Garcia,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1577,Chontla,Nestor Enrique Sosa Peña,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1578,Chumatlan,Ezequiel Espinoza Salazar,Veracruz,Cuitlahuac Garcia Jimenez,Partido del Trabajo
1579,Emiliano Zapata,Erick Ruiz Hernandez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1580,Espinal,Paulino Roberto Salinas Salgado,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1581,Filomeno Mata,Miguel Jeronimo Vega,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Ciudadano
1582,Fortin,Gerardo Rosales Victoria,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1583,Gutierrez Zamora,Frans Aparicio Reyes,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1584,Hidalgotitlan,Javier Valladares Agustin,Veracruz,Cuitlahuac Garcia Jimenez,Partido Encuentro Solidario
1585,Huatusco,Ventura Demuner Torres,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1586,Huayacocotla,Manuel Lemus Salazar,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1587,Hueyapan de Ocampo,Juan Gomez Martinez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1588,Huiloapan de Cuauhtemoc,Lizeth Mendez Rosas,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1589,Ignacio de la Llave,Andres Chacon Hernandez,Veracruz,Cuitlahuac Garcia Jimenez,Todos por Veracruz
1590,Ilamatlan,Abad Tadeo Cortes,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1591,Isla,Abelino Barrientos Castro  ,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1592,Ixcatepec,Efrain Perez Cruz,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1593,Ixhuacan de los Reyes,Fortunato Ruiz Vargas,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1594,Ixhuatlan del Cafe,Dora Angelica Galicia Contreras,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1595,Ixhuatlancillo,Fernando Ochoa Vergara,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1596,Ixhuatlan del Sureste,Fabian de Jesus Cruz Hernandez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1597,Ixhuatlan de Madero,Arnulfo Espinoza Tolentino,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1598,Ixmatlahuacan,Raul Andrade Gonzalez,Veracruz,Cuitlahuac Garcia Jimenez,Unidad Ciudadana
1599,Ixtaczoquitlan,Augusto Nahum Alvarez Pellico,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1600,Jalacingo,Roberto Perdomo Chino,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1601,Xalapa,Ricardo Ahued Bardahuil,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1602,Jalcomulco,David Meza Hernandez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Ciudadano
1603,Jaltipan,Jesus Miguel Perez Toto,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1604,Jamapa,Victor Enedino Morales Castro,Veracruz,Cuitlahuac Garcia Jimenez,Unidad Ciudadana
1605,Xico,Luis Yoval Maldonado,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1606,Jilotepec,Balbino Castillo Murrieta,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1607,Juan Rodriguez Clara,Eric Rodriguez Barcenas,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Ciudadano
1608,Juchique de Ferrer,Cruz Ulises Cuevas Hernandez,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1609,Landero y Coss,Pablo Dominguez Martinez,Veracruz,Cuitlahuac Garcia Jimenez,Todos por Veracruz
1610,Lerdo de Tejada,Jorge Fabian Cardenas Sosa,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1611,Magdalena,Aaron Mixteco Coyohua,Veracruz,Cuitlahuac Garcia Jimenez,Fuerza por México
1612,Maltrata,Margarito Ramirez Brenis,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1613,Manlio Fabio Altamirano,Ana Lilia Arrieta Gutierrez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1614,Mariano Escobedo,Maria Guadalupe Duran Alcantara,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1615,Martinez de la Torre,Rodrigo Calderon Salas,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1616,Mecatlan,Bonifacio Antonio Sosa,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Ciudadano
1617,Mecayapan,Antonio Cervantes Vargas,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1618,Medellin,Marcos Isleño Andrade,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1619,Miahuatlan,Hector Oscar Suarez Sanchez,Veracruz,Cuitlahuac Garcia Jimenez,Fuerza por México
1620,Las Minas,Humberto Udiel Olano Carballo,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1621,Minatitlan,Carmen Medel Palma,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1622,Misantla,Javier Hernandez Candanedo,Veracruz,Cuitlahuac Garcia Jimenez,Partido del Trabajo
1623,Mixtla de Altamirano,Norma Estela Hernandez Sanchez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1624,Moloacan,Omar Augusto Ricardez Chong,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1625,Naolinco,Luis Manuel Montero Hernandez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1626,Naranjal,Aleida Tepepa Marquez,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1627,Nautla,Miguel Verjel Vazquez,Veracruz,Cuitlahuac Garcia Jimenez,Partido de la Revolución Democrática
1628,Nogales,Ernesto Torres Navarro,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
1629,Oluta,Mauricio Alarcon Castillo,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Ciudadano
1630,Omealca,Nallely Cortes Jimenez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1631,Orizaba,Juan Manuel Diez Francos,Veracruz,Cuitlahuac Garcia Jimenez,Partido Revolucionario Institucional
1632,Otatitlan,Olga Jared Manzanilla Medina,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1633,Oteapan,Jairo Cesar Martinez Gonzalez,Veracruz,Cuitlahuac Garcia Jimenez,Movimiento Regeneración Nacional
1634,Ozuluama de Mascareñas,Agustin Ramos Hernandez,Veracruz,Cuitlahuac Garcia Jimenez,Partido Verde Ecologista de México
